SedentaryMinutes,TotalSteps,TotalMinutesAsleep,TotalTimeInBed,Calories
548,5652,630,679,1718
862,1551,508,535,1466
837,5563,370,386,1756
741,13217,357,366,2173
634,10145,427,446,2027
689,11404,442,458,2039
659,10742,476,535,2046
639,13928,418,424,2174
708,11835,451,457,2179
659,10725,425,435,2086
484,20031,528,546,2571
720,5029,511,514,1705
637,13239,400,415,2194
680,10433,441,446,2012
697,10320,455,467,2034
621,12627,440,453,2182
645,10762,433,447,2254
731,10081,422,424,2002
722,5454,411,426,1740
655,12912,466,482,2162
654,12109,394,418,2072
683,10147,442,455,2086
591,10524,467,491,2066
717,5908,443,462,1850
745,6815,298,334,1947
709,4188,541,569,1659
607,12342,489,497,2105
626,15448,469,481,2361
709,6722,452,480,1855
127,3587,516,535,928
1155,4631,79,82,2076
1142,5600,58,61,2225
745,11317,514,525,2772
744,5813,451,465,2516
787,9123,472,476,2734
864,8585,377,386,2395
671,10688,472,483,2944
797,14365,492,502,2997
758,9469,390,411,2463
762,9753,428,448,2846
566,3520,681,704,2049
706,10091,446,447,2752
726,10387,485,500,2781
829,11107,469,479,2693
810,11584,354,367,2862
584,14560,485,489,2995
685,12390,388,407,2730
737,10052,440,459,2754
761,10288,456,461,2754
843,10988,420,436,2655
834,12461,322,333,2924
621,12827,530,548,2739
695,10677,481,510,2534
743,13566,427,438,2960
757,9572,451,463,2735
343,3789,444,457,1199
695,15108,486,493,3043
741,22359,331,337,3554
1076,19769,74,75,3331
723,7626,338,356,3635
680,12386,447,487,4079
699,13318,424,455,4163
729,14461,513,533,3666
563,11207,611,689,3363
599,2132,525,591,2572
720,13630,398,451,4157
737,13070,387,421,4092
763,9388,381,409,3787
677,15148,396,417,4236
769,12200,441,469,4044
740,5709,565,591,2908
734,3703,458,492,2741
692,12405,388,402,4005
692,12405,388,402,4005
593,16208,550,584,3763
676,7359,531,600,3061
711,5417,506,556,2884
767,6175,527,562,2982
780,2946,468,555,2660
669,11419,475,539,3369
802,6064,351,385,3491
822,8712,405,429,3784
680,7875,441,477,3110
764,8567,381,417,3783
831,7045,323,355,3644
851,4468,459,513,2799
621,2943,545,606,2685
772,8382,359,399,3721
840,6582,342,391,3586
763,9143,368,387,3788
433,4561,496,546,1976
831,2564,458,493,2044
806,1320,531,552,1934
853,1219,486,503,1963
937,2483,363,377,2009
744,3147,528,547,2188
817,4068,391,407,2419
795,5245,339,360,2748
900,1758,423,428,2067
714,6157,402,416,2780
634,8360,398,406,3101
749,7174,343,360,2896
834,1619,503,527,1962
916,1831,415,423,2015
739,2421,516,545,2297
848,2283,439,463,2067
